full_path,is_directory,name,id,Franchise Name,PRIMARYKEY,,,,,Date Last Mod,Size,Folder
C:\Users\mille\MinerU\Alloy_Wheel_Franchise_LLC_FDD_2024_ID637572.pdf-2875cd9d-7bc5-4f98-a018-094f3e1ec0a2\b8846a86-9e07-4186-a7e1-d508b6eb806e_content_list.json,FALSE,b8846a86-9e07-4186-a7e1-d508b6eb806e_content_list.json,637572,Alloy Wheel Franchise LLC,44,,,,,3/30/2025 17:38,674489,Alloy_Wheel_Franchise_LLC_FDD_2024_ID637572.pdf-2875cd9d-7bc5-4f98-a018-094f3e1ec0a2
C:\Users\mille\MinerU\Aloha_Poke_Franchising_LLC_FDD_2024_ID636245.pdf-95fbaf65-9275-49e6-825c-0c97c0f44bcf\947bba71-fa21-4b68-82fb-15e2d4701398_content_list.json,FALSE,947bba71-fa21-4b68-82fb-15e2d4701398_content_list.json,636245,Aloha Poke Franchising LLC,45,,,,,3/30/2025 17:36,678297,Aloha_Poke_Franchising_LLC_FDD_2024_ID636245.pdf-95fbaf65-9275-49e6-825c-0c97c0f44bcf
C:\Users\mille\MinerU\AlphaGraphics_Inc_FDD_2024_ID636333.pdf-34b82149-9d56-4eee-9365-cd31ecc42f1f\83da2932-f70e-47c5-ad8e-b80f1916141b_content_list.json,FALSE,83da2932-f70e-47c5-ad8e-b80f1916141b_content_list.json,636333,AlphaGraphics Inc,46,,,,,3/30/2025 17:39,998579,AlphaGraphics_Inc_FDD_2024_ID636333.pdf-34b82149-9d56-4eee-9365-cd31ecc42f1f
C:\Users\mille\MinerU\Amazing_Lash_Franchise_LLC_FDD_2024_ID635816.pdf-149f9c03-ceda-420f-8bdf-25f98a329331\175e5bef-9ff4-4a9e-a51e-f855d35efef3_content_list.json,FALSE,175e5bef-9ff4-4a9e-a51e-f855d35efef3_content_list.json,635816,Amazing Lash Franchise LLC,47,,,,,3/30/2025 17:40,1096931,Amazing_Lash_Franchise_LLC_FDD_2024_ID635816.pdf-149f9c03-ceda-420f-8bdf-25f98a329331
C:\Users\mille\MinerU\American_Decorative_Coatings_LLC_FDD_2024_ID635475.pdf-a963526a-9de7-4706-93c2-42ee5a15e8d9\3f3f1c20-8cf9-470b-8473-cfcf0f01af81_content_list.json,FALSE,3f3f1c20-8cf9-470b-8473-cfcf0f01af81_content_list.json,635475,American Decorative Coatings LLC,48,,,,,3/30/2025 17:38,773341,American_Decorative_Coatings_LLC_FDD_2024_ID635475.pdf-a963526a-9de7-4706-93c2-42ee5a15e8d9
C:\Users\mille\MinerU\American_Freight_Franchisor_LLC_FDD_2024_ID636555.pdf-fb63223a-0d7d-4bc0-9b3f-828cbcb555e8\6a46e8d5-e133-4da2-aabd-b8b232b61c97_content_list.json,FALSE,6a46e8d5-e133-4da2-aabd-b8b232b61c97_content_list.json,636555,American Freight Franchisor LLC,49,,,,,3/30/2025 17:29,796113,American_Freight_Franchisor_LLC_FDD_2024_ID636555.pdf-fb63223a-0d7d-4bc0-9b3f-828cbcb555e8
C:\Users\mille\MinerU\American_Leak_Detection_FDD_2024_ID635621.pdf-6bf243a5-8350-42a5-892f-749608b0ddbc\a2cbb576-302a-4178-b7be-7fb2225b17ff_content_list.json,FALSE,a2cbb576-302a-4178-b7be-7fb2225b17ff_content_list.json,635621,American Leak Detection,50,,,,,3/30/2025 17:32,837226,American_Leak_Detection_FDD_2024_ID635621.pdf-6bf243a5-8350-42a5-892f-749608b0ddbc
C:\Users\mille\MinerU\American_Shaman_Franchise_System_LLC_FDD_2024_ID636917.pdf-5eb3a1be-b3b0-4c86-bbf9-ee25b473e7e3\fe62db1d-adab-4ee4-9cf8-84177ff8db30_content_list.json,FALSE,fe62db1d-adab-4ee4-9cf8-84177ff8db30_content_list.json,636917,American Shaman Franchise System LLC,51,,,,,3/30/2025 17:32,685995,American_Shaman_Franchise_System_LLC_FDD_2024_ID636917.pdf-5eb3a1be-b3b0-4c86-bbf9-ee25b473e7e3
C:\Users\mille\MinerU\Americas_Music_School_LLC_FDD_2024_ID636305.pdf-3cf77c7e-da36-4a48-b4b1-8d2104ba6afa\61ac770c-031c-4b33-8951-321d0c075491_content_list.json,FALSE,61ac770c-031c-4b33-8951-321d0c075491_content_list.json,636305,Americas Music School LLC,52,,,,,3/30/2025 17:31,1013571,Americas_Music_School_LLC_FDD_2024_ID636305.pdf-3cf77c7e-da36-4a48-b4b1-8d2104ba6afa
C:\Users\mille\MinerU\AmericInn_International_LLC_FDD_2024_ID.pdf-13e2643e-1263-4fd6-82f6-378d0513aea3\137c9acc-1aef-4008-a815-a5e0be023575_content_list.json,FALSE,137c9acc-1aef-4008-a815-a5e0be023575_content_list.json,,AmericInn International LLC,53,,,,,3/30/2025 17:35,1407445,AmericInn_International_LLC_FDD_2024_ID.pdf-13e2643e-1263-4fd6-82f6-378d0513aea3
